no,question,options,answer
1,SNS上では匿名であるので、誰に対してどんな発言をしてもよい。,〇 ✕,✕,
2,友達の顔が写った写真を本人の許可なしにSNSに投稿・拡散することはやってはいけない。,〇 ✕,〇,
3,SNSは匿名なので、何があっても自分自身が特定されることはない。,〇 ✕,✕,
4,近所に新しいスイーツ店がオープン。みんなにも知ってもらいたいので「近所に美味しいスイーツ店ができました！場所は○○」という投稿をした。自分の顔写真を写したり住所を言っているわけではないので問題はない。,〇 ✕,✕,
5,SNSであなたの昔の友人だという人が現れた。SNS以外でも連絡をとりたいので、電話番号を教えてもよい。,〇 ✕,✕,
6,ネットで「実際に会おう」と言ってくる人の中には、悪意を持って会おうとしてくる人もいる。,〇 ✕,〇,
7,ネットいじめ件数は年々、増加傾向or減少傾向orほとんど変わらない？,増加傾向 減少傾向 ほとんど変わらない,増加傾向,
8,ネットに投稿した写真が勝手に加工されたり使われてしまうことがある。,〇 ✕,〇,
9,嘘の情報を拡散することは罪になる。,〇 ✕,〇,
10,SNSでの書き込みは、確実に相手に伝わるとは限らない。,〇 ✕,〇,
